Filename,DictionaryIPA,DictionaryTone,VowelLength,IPA,Coda,ReclassifiedTone,ReclassifiedVowelLength,VowelQuality,PhonemicIPA,ReclassifiedIPA,ReclassifiedCoda,Exclude,DictionaryMatch,Onset,OnsType
WZ09_1_6_1,ɕiːn1,1,long,ɕiːn1,nasal,1,long,iə,ɕiːən,ɕiːən,nasal,Keep,yes,ɕ,voiceless fricative
WZ09_5_155_3,lon5,5,short,lon5,nasal,7,short,o,tok,tɔk,obstruent,Keep,no,t,voiceless stop
WZ09_2_42_2,ɕi2,2,short,ɕi2,nocoda,2,long,,,ɕiː,nocoda,Skipped,NA,ɕ,voiceless fricative
WZ09_2_33_1,ɣaːn2,2,long,ɣaːn2,nasal,2,long,a,ɣaːn,ɣaːn,nasal,Keep,yes,ɣ,voiced fricative
WZ09_7_139_1,dit7,7,short,dit7,obstruent,7,short,,,dittaːt,obstruent,2S,NA,d,voiced stop
WZ09_1_27_1,puən1,1,short,puən1,nasal,1,long,uə,puːən,puːən,nasal,Keep,yes,p,voiceless stop
WZ09_3_56_1,ɕan3,3,short,ɕan3,nasal,3,short,a,ɕan,ɕan,nasal,Keep,yes,ɕ,voiceless fricative
WZ09_6_124_1,ɕe6,6,short,ɕe6,nocoda,6,long,e,ɕeː,ɕeː,nocoda,Keep,yes,ɕ,voiceless fricative
WZ09_7_181_1,taːt9_or_θok7,7,short,θok7,obstruent,1,long,iu,θiːu,θiːu,nocoda,Keep,no,θ,voiceless fricative
WZ09_1_13_1,dɯn1,1,short,dɯn1,nasal,3,short,a,pan,pan,nasal,Keep,no,p,voiceless stop
WZ09_6_124_2,ɕe6,6,short,ɕe6,nocoda,6,long,e,ɕeː,ɕeː,nocoda,Keep,yes,ɕ,voiceless fricative
WZ09_2_45_1,ɕɯ2,2,short,ɕɯ2,nocoda,2,long,ɯ,ɕɯː,ɕɯː,nocoda,Keep,yes,ɕ,voiceless fricative
WZ09_7_152_1,pit7,7,short,pit7,obstruent,7,short,i,pit,pit,obstruent,Extra,NA,p,voiceless stop
WZ09_4_79_2,kan4,4,short,kan4,nasal,2,short,a,kan,kan,nasal,Keep,yes,k,voiceless stop
WZ09_7_143_2,tɯk7,7,short,tɯk7,obstruent,7,short,ɯ,tɯk,tɯk,obstruent,Keep,yes,t,voiceless stop
WZ09_2_45_2,ɕɯ2,2,short,ɕɯ2,nocoda,2,long,ɯ,ɕɯː,ɕɯː,nocoda,Keep,yes,ɕ,voiceless fricative
WZ09_6_116_1,ɕaːn6,6,long,ɕaːn6,nasal,6,long,a,ɕaːn,ɕaːn,nasal,Keep,yes,ɕ,voiceless fricative
WZ09_1_13_2,dɯn1,1,short,dɯn1,nasal,1,short,ɯ,dɯn,dɯn,nasal,Keep,yes,d,voiced stop
WZ09_1_11_1,dɯːn1,1,long,dɯːn1,nasal,0,long,iə,jiːət,jiːət,obstruent,Keep,no,j,sonorant
WZ09_0_188_1,ɕaːk8,0,long,ɕaːk8,obstruent,0,long,a,ɕaːk,ɕaːk,obstruent,Keep,yes,ɕ,voiceless fricative
WZ09_9_175_1,ɕaːt9,9,long,ɕaːt9,obstruent,9,long,a,ɕaːt,ɕaːt,obstruent,Extra,NA,ɕ,voiceless fricative
WZ09_5_110_1,to5,5,short,to5,nocoda,5,long,o,toː,tɤː,nocoda,Extra,NA,t,voiceless stop
WZ09_5_111_1,to5,5,short,to5,nocoda,5,long,o,toː,tɤː,nocoda,Extra,NA,t,voiceless stop
WZ09_5_92_3,taːn5,5,long,taːn5,nasal,5,long,a,taːn,taːn,nasal,Keep,yes,t,voiceless stop
WZ09_7_143_3,tɯk7,7,short,tɯk7,obstruent,7,short,ɯ,tɯk,tɯk,obstruent,Keep,yes,t,voiceless stop
WZ09_3_66_2,ti3,3,short,ti3,nocoda,3,long,i,tiː,tiː,nocoda,Keep,yes,t,voiceless stop
WZ09_6_127_1,tu6,6,short,tu6,nocoda,6,long,u,tuː,tuː,nocoda,Keep,yes,t,voiceless stop
WZ09_9_184_2,tiŋ5_or_toːt9,9,long,toːt9,obstruent,9,long,o,toːt,tɤːt,obstruent,Keep,yes,t,voiceless stop
WZ09_1_30_1,θi1,1,short,θi1,nocoda,5,NA,i,jim,jim,nasal,Keep,no,j,sonorant
WZ09_5_96_1,haːn5,5,long,haːn5,nasal,5,long,a,haːn,haːn,nasal,Keep,yes,h,voiceless fricative
WZ09_2_46_2,tin2,2,short,tin2,nasal,5,long,o,toː,tɤː,nocoda,Keep,no,t,voiceless stop
WZ09_1_15_1,ɣa1,1,short,ɣa1,nocoda,1,long,a,ɣaː,ɣaː,nocoda,Keep,yes,ɣ,voiced fricative
WZ09_2_48_1,tiən2,2,short,tiən2,nasal,2,long,iə,tiːən,tiːən,nasal,Keep,yes,t,voiceless stop
WZ09_2_28_2,tiəu6_or_lau2,2,short,lau2,nocoda,2,NA,au,lau,lau,nocoda,Keep,yes,l,sonorant
WZ09_2_171_2,san2,2,short,san2,nasal,1,long,i,θiːn,θiːən,nasal,Keep,no,θ,voiceless fricative
WZ09_1_7_1,ɕiːn1,1,long,ɕiːn1,nasal,1,long,iə,ɕiːən,ɕiːən,nasal,Extra,NA,ɕ,voiceless fricative
